price;rooms;area;district;type
226298.17;4;76.4;Krzyki;new high
128121.35;1;19.4;Biskupin;new high
118333.42;1;21.5;Srodmiescie;new high
202064.16;4;65.2;Srodmiescie;new high
130303.00;1;21.4;Krzyki;new high
156241.89;2;35.8;Biskupin;new high
186732.01;2;41.1;Biskupin;old
98925.66;1;18.1;Krzyki;old
193186.71;3;54.6;Srodmiescie;new high
116306.58;1;18.9;Krzyki;new high
200661.77;3;60.4;Biskupin;old
120513.56;1;17.0;Srodmiescie;old
165908.86;3;46.2;Krzyki;old
149856.6;2;37.9;Krzyki;old
136640.17;2;30.6;Srodmiescie;old
143616.79;2;34.8;Krzyki;new high
146439.27;2;29.8;Biskupin;new high
158608.89;2;35.5;Krzyki;new low
204529.65;3;61.3;Srodmiescie;old
186816.07;4;63.2;Krzyki;old
172528.26;3;45.1;Biskupin;new high
245845.93;4;80.3;Srodmiescie;new low
123690.76;1;19.3;Biskupin;new high
149943.62;2;32.4;Srodmiescie;old
149948.18;2;32.4;Srodmiescie;old
214461.62;3;49.6;Biskupin;new low
199465.03;3;44.0;Biskupin;old
93055.36;1;17.9;Krzyki;new high
140947.96;2;35.6;Krzyki;new high
214379.62;3;64.7;Krzyki;new high
244760.22;4;68.5;Krzyki;new low
132012.89;1;17.4;Srodmiescie;new low
180516.55;3;53.0;Srodmiescie;new low
140133.37;2;29.6;Srodmiescie;new high
210290.58;3;52.3;Biskupin;new low
184713.03;3;47.9;Krzyki;new high
203449.34;3;59.4;Krzyki;new low
212056.29;4;70.3;Krzyki;new high
194037.54;3;62.0;Krzyki;old
108383.14;1;21.1;Krzyki;old
127348.95;1;21.9;Srodmiescie;new high
243336.45;4;81.8;Srodmiescie;new low
202248.22;4;62.0;Krzyki;old
140150.46;2;29.9;Krzyki;old
185345.69;4;53.6;Krzyki;old
224902.78;4;67.4;Krzyki;new high
175233.29;2;43.1;Krzyki;new low
220714.05;4;69.7;Biskupin;new high
295761.8;4;87.7;Biskupin;new low
120289.78;1;18.0;Biskupin;new high
197769.6;3;41.2;Biskupin;new low
159804.62;3;42.0;Krzyki;new low
166560.53;2;36.3;Biskupin;new low
209165.27;3;54.4;Biskupin;old
208599.19;3;63.5;Krzyki;new low
155264.66;2;31.0;Srodmiescie;new low
135106.81;1;18.4;Biskupin;old
205702.34;2;43.7;Srodmiescie;new low
186123.06;3;55.4;Srodmiescie;new low
189860.22;3;57.7;Srodmiescie;old
110566.55;1;19.6;Krzyki;new high
101188.78;1;20.6;Krzyki;new high
161366.39;2;38.5;Krzyki;new low
217035.43;3;63.8;Krzyki;new low
99170.8;1;18.3;Krzyki;old
239440.9;4;79.5;Srodmiescie;new high
211177.75;4;69.4;Biskupin;new low
242341.98;4;72.8;Krzyki;new low
208188.79;3;50.7;Biskupin;new low
176134.23;2;42.7;Srodmiescie;new low
157917.4;2;35.4;Biskupin;old
219082.15;3;57.2;Biskupin;new low
237783.73;4;83.3;Srodmiescie;old
209267.87;3;62.5;Biskupin;old
120461.81;1;18.5;Krzyki;new low
122450.66;1;20.6;Srodmiescie;old
160509.06;3;41.8;Krzyki;new high
189109.19;2;43.2;Biskupin;new low
181191.93;3;59.7;Krzyki;old
177478.44;3;48.5;Srodmiescie;new high
144072.05;2;40.5;Krzyki;new low
220745.37;4;73.8;Srodmiescie;new high
139292.92;2;37.2;Krzyki;old
114348.44;1;21.1;Srodmiescie;old
205710.6;3;55.2;Biskupin;old
165787.81;2;41.3;Krzyki;new low
202995.09;3;58.1;Biskupin;new high
170220.94;3;54.0;Krzyki;new low
146474.62;3;45.8;Krzyki;new high
173423.77;2;40.4;Biskupin;new high
160144.27;2;39.2;Srodmiescie;old
220532.34;4;76.8;Srodmiescie;old
128746.53;1;18.2;Krzyki;new high
88643.77;1;17.4;Krzyki;new high
103749.02;1;21.7;Srodmiescie;new high
137258.18;1;18.6;Srodmiescie;new low
221264.72;3;61.4;Srodmiescie;new low
157323.9;3;48.3;Krzyki;new high
207450.39;3;61.4;Biskupin;old
218154.14;3;55.7;Biskupin;new low
113563.76;1;18.2;Krzyki;new high
126583.95;1;20.0;Srodmiescie;new low
144701.08;2;35.0;Krzyki;new high
155730.23;2;37.1;Srodmiescie;new high
228235.61;4;66.2;Biskupin;old
198458.19;4;62.0;Srodmiescie;new high
114905.1;1;17.5;Krzyki;new low
103983.28;1;17.9;Srodmiescie;new high
170908.24;3;43.6;Srodmiescie;new high
180234.64;3;43.2;Srodmiescie;new low
150866.99;2;35.5;Biskupin;old
208477.29;4;60.4;Biskupin;new high
189539.0;3;54.4;Krzyki;old
183703.69;2;42.7;Srodmiescie;new low
